Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2014,5,1,0,0,0,0,0,0,0,0,3,6,127.53,0,0.172,1.2,1.172,331.8,50.59,18,990,0,0,N/A
2014,5,1,0,30,0,0,0,0,0,0,3,6,127.01,0,0.172,1.1,1.17,331.8,53.89,17,990,0,0,N/A
2014,5,1,1,0,0,0,0,0,0,0,3,5,125.57,0,0.172,1,1.169,345.1,51.22,17,990,0,0,N/A
2014,5,1,1,30,0,0,0,0,0,0,3,5,123.29,0,0.172,0.9,1.161,345.1,54.59,16,990,0,0,N/A
2014,5,1,2,0,0,0,0,0,0,0,3,5,120.25,0,0.172,0.9,1.153,358.6,51.23,16,990,0,0,N/A
2014,5,1,2,30,0,0,0,0,0,0,3,5,116.58,0,0.172,0.8,1.143,358.6,51.23,16,990,0,0,N/A
2014,5,1,3,0,0,0,0,0,0,0,3,4,112.38,0,0.172,0.7,1.133,21.4,48.05,16,990,0,0,N/A
2014,5,1,3,30,0,0,0,0,0,0,0,4,107.75,0,0.172,0.6,1.122,21.4,48.05,16,990,0,0,N/A
2014,5,1,4,0,0,0,0,0,0,0,0,3,102.77,0,0.172,0.5,1.112,49.8,45.76,16,990,0,0,N/A
2014,5,1,4,30,0,0,0,0,0,0,0,3,97.51,0,0.172,0.5,1.102,49.8,45.76,16,990,0,0,N/A
2014,5,1,5,0,0,0,0,0,0,0,0,3,92.03,0,0.172,0.5,1.093,86.7,43.01,16,990,0,0,N/A
2014,5,1,5,30,23,162,33,23,162,33,0,3,86.37,0,0.172,0.6,1.085,86.7,40.37,18,990,0,0,N/A
2014,5,1,6,0,51,388,115,51,388,115,0,6,80.59,0,0.172,0.8,1.077,114.6,43.24,20,990,0,0,N/A
2014,5,1,6,30,71,543,214,71,543,214,0,6,74.72,0,0.172,1.2,1.084,114.6,38.22,22,990,10.4904,8.0659,N/A
2014,5,1,7,0,84,659,322,84,659,322,0,3,68.78,0,0.172,1.7,1.092,131.1,28.07,24,990,16.6622,12.9218,N/A
2014,5,1,7,30,95,732,430,95,732,430,0,3,62.82,0,0.172,2,1.112,131.1,26.44,25,990,23.2906,18.1588,N/A
2014,5,1,8,0,106,780,533,106,780,533,0,1,56.87,0,0.172,2.3,1.132,143.2,20.71,27,990,29.8905,23.3822,N/A
2014,5,1,8,30,114,820,630,114,820,630,1,1,50.97,0,0.172,2.2,1.154,143.2,19.53,28,990,36.263,28.4289,N/A
2014,5,1,9,0,121,848,719,121,848,719,2,1,45.19,4,0.172,2.2,1.176,146.5,18.37,29,990,42.2012,33.133,N/A
2014,5,1,9,30,126,871,798,126,871,798,2,1,39.6,4,0.172,1.9,1.196,146.5,17.34,30,990,47.5277,37.3533,N/A
2014,5,1,10,0,118,911,871,118,911,871,2,2,34.33,4,0.172,1.6,1.216,157.2,16.82,31,990,52.4396,41.2433,N/A
2014,5,1,10,30,121,923,924,121,923,924,0,2,29.58,0,0.172,1.1,1.236,157.2,16.82,31,990,56.0641,44.1158,N/A
2014,5,1,11,0,123,931,962,123,931,962,0,2,25.66,0,0.172,0.6,1.256,195.2,16.58,32,990,58.675,46.1853,N/A
2014,5,1,11,30,124,935,985,124,935,985,0,2,23.02,0,0.172,0.7,1.275,195.2,16.57,32,990,60.257,47.4391,N/A
2014,5,1,12,0,125,934,991,125,934,991,0,3,22.13,1,0.172,0.9,1.295,301.3,16.13,33,990,60.6794,47.7743,N/A
2014,5,1,12,30,125,932,982,125,932,982,0,3,23.19,0,0.172,1.4,1.302,301.3,16.13,33,990,60.0626,47.2856,N/A
2014,5,1,13,0,134,910,953,134,910,953,0,3,25.96,0,0.172,1.9,1.31,320.2,15.53,34,990,58.1049,45.7355,N/A
2014,5,1,13,30,132,901,913,132,901,913,0,3,29.96,0,0.172,2.2,1.307,320.2,15.52,34,990,55.3657,43.5647,N/A
2014,5,1,14,0,129,887,859,129,887,859,1,3,34.77,0,0.172,2.6,1.305,324.3,15.56,34,990,51.6753,40.64,N/A
2014,5,1,14,30,125,869,791,125,869,791,0,3,40.07,0,0.172,2.8,1.299,324.3,16.45,33,990,47.0593,36.9824,N/A
2014,5,1,15,0,121,844,711,121,844,711,0,3,45.67,0,0.172,3.1,1.294,324.9,16.55,33,990,41.6719,32.714,N/A
2014,5,1,15,30,114,812,620,114,812,620,0,3,51.46,0,0.172,3.2,1.286,324.9,17.51,32,990,35.6196,27.9203,N/A
2014,5,1,16,0,104,776,523,104,776,523,2,4,57.36,4,0.172,3.3,1.278,324.4,18.35,32,990,29.2563,22.8809,N/A
2014,5,1,16,30,95,722,419,95,722,419,0,4,63.31,0,0.172,2.9,1.268,324.4,19.42,31,990,22.6196,17.6295,N/A
2014,5,1,17,0,82,654,313,82,654,313,0,7,69.26,0,0.172,2.6,1.258,324.6,25.14,30,990,16.129,12.5015,N/A
2014,5,1,17,30,67,551,208,67,551,208,0,7,75.18,0,0.172,2.5,1.245,324.6,29.94,27,990,10.1553,7.8019,N/A
2014,5,1,18,0,53,164,79,45,419,111,3,8,81.04,0,0.172,2.4,1.232,325.4,37.87,25,990,0,0,N/A
2014,5,1,18,30,19,32,21,20,181,30,3,8,86.8,4,0.172,2.5,1.215,325.4,40.23,24,990,0,0,N/A
2014,5,1,19,0,0,0,0,0,0,0,0,8,92.43,0,0.172,2.8,1.199,324.5,40.86,23,990,0,0,N/A
2014,5,1,19,30,0,0,0,0,0,0,0,8,97.88,0,0.172,2.5,1.175,324.5,43.44,22,990,0,0,N/A
2014,5,1,20,0,0,0,0,0,0,0,0,8,103.1,0,0.172,2.4,1.152,324.2,46.46,21,990,0,0,N/A
2014,5,1,20,30,0,0,0,0,0,0,0,8,108.04,0,0.172,2.1,1.119,324.2,49.44,20,990,0,0,N/A
2014,5,1,21,0,0,0,0,0,0,0,0,8,112.61,0,0.172,1.8,1.086,327.2,53.27,19,990,0,0,N/A
2014,5,1,21,30,0,0,0,0,0,0,0,8,116.75,0,0.172,1.6,1.049,327.2,56.72,18,990,0,0,N/A
2014,5,1,22,0,0,0,0,0,0,0,0,8,120.34,0,0.172,1.4,1.012,331.2,56.95,18,990,0,0,N/A
2014,5,1,22,30,0,0,0,0,0,0,0,8,123.29,0,0.172,1.2,0.978,331.2,60.67,17,990,0,0,N/A
2014,5,1,23,0,0,0,0,0,0,0,0,8,125.48,0,0.172,1.2,0.943,332.3,59.33,17,990,0,0,N/A
